Código,Utilização
15 00,201para despertar todos aqueles que ignoram o sofrimento dos
44 44,444para despertar para todas as coisas angelicais
56 78,321para identiÞcar facilmente a assinatura energ”tica de outro
65 62,"792para harmonia, perd‰o e resolu“‰o apŠs conßito com outros"
21 21,"653para CONHECER os desejos do cora“‰o, livre de pensamentos"
45 36,"010para que a PAZ, a Paz Divina, preencha seu cora“‰o e afete o aura"
22 21,568para dissipar o ressentimento e troc⁄-lo pela vibra“‰o de paz
77 12,000para que seu passado se torne perfeitamente harmonioso com
21 36,521para aceita“‰o da hierarquia da Interven“‰o Divina
16 57,922para experimentar a BEATITUDE
00 53,111a Bomba do AMOR (para aumentar o amor em seu mundo al”m da
88 88,"013para sentir a alegria das idades 24 horas por dia, 7 dias por"
21 85,006para Energia Reiki ser atualizada para um n™vel acima do œltimo
84 72,167para que o amor-prŠprio e a autoestima aumentem para um Štimo
20 20,"228para fortalecer a aura contra ataques, para Assist’ncia Divina e a"
93 96,557para avan“ar para a Consci’ncia Plena (deve ser feito em etapas.
25 19,876para que os perdidos e socialmente isolados encontrem o seu
86 85,931para generosidade de esp™rito
31 57,825para quem hesita e duvida de sua Natureza Divina aceite isso
51 34,"581para brilhar intensamente a sua luz, n‰o importa o que esteja"
96 71 115,pela disposi“‰o de servir ‹ humanidade
15 16,995pela capacidade de servir aos outros de cora“‰o com perfei“‰o
76 82,630para o esp™rito de cura e trabalho em equipe enquanto voc’
51 76,481para abrir os olhos daqueles que dormem espiritualmente (para
56 11,"752para a capacidade de despertar ainda mais, de se abrir o m⁄ximo"
86 12,547para se encher de gratid‰o e VER todos os milagres pelo que eles
13 58,372para que o conhecimento espiritual seja disponibilizado
43 33,551para a liberdade das for“as das trevas e para obter soberania
96 91,771para ter for“a para manter sua vibra“‰o alta como aqueles que
07 99,720para for“a interior e energia calmante durante as lutas associadas
12 16,458para aqueles que sentem falta de mudar o foco do que ”
15 01,807para aumentar o reconhecimento da vibra“‰o da alma original
16 91,405para aceitar e permitir as formas Gal⁄cticas de fazer as coisas Ñ
56 57,893para experimentar o Amor Incondicional
55 56,318para escapar d'Aqueles Que N‰o T’m Nossos Melhores
12 54,681para a doen“a f™sica que mais lhe incomoda neste momento Ñ
16 23,"948para superar o caos, a confus‰o, a distra“‰o e o atraso"
16 16,714para facilitar a adapta“‰o ao que ” novo Ñ para abra“ar e acolher
13 13,42525para seguir em frente/superar obst⁄culos
51 56,886para aumentar a motiva“‰o onde h⁄ pouca ou nenhuma
22 18,609para que o futuro chegue com ben“‰os para sua vida experi’ncia
08 08,888para algo novo que ” bem-vindo
20 61,416para boa sorte em todos os empreendimentos
08 22,"517para experimentar felizes para sempre Ñ o seu pessoal e, em"
27 41,300para tudo o que voc’ sempre quis que se tornasse realidade Ñ
06 11,507para harmonia em todas as coisas Ñ tanto na perspectiva quanto
62 61,"715para entes queridos que est‰o em cirurgia, para que o mais alto"
96 15,"646para estudantes, empregados, pais e autŽnomos que suportam"
13 24,56868para aceita“‰o Daquilo Que … Ñ a situa“‰o em sua vida
89 65,215para aceita“‰o Daquilo Que … Ñ sua contribui“‰o para sua
23 26,"940para aceitar Aquilo Que … e ainda mais, para estar motivado para"
54 37,117para ter felicidade e coragem diante dos desaÞos e das li“łes que
21 21,817para ter disponibilidade para enfrentar novos desaÞos e interesse
88 66,556para eliminar a resist’ncia ao que lhes ” pedido em sua jornada
89 96,7899para uma sintoniza“‰o de autocura
17 94 625 826,95413para sintoniza“‰o de prote“‰o
24 27,"483para reiniciar! (” como apertar o bot‰o ""reiniciar"" Ñ d⁄ a voc’ um"
17 41,366para quando tudo n‰o est⁄ 'certo' Ñ para que o momento 'vire' a
02 87,"297para que tudo seja constru™do no ritmo, momento e sucess‰o"
12 57,901para que o aborrecimento em todas as causas seja menos
31 12,016para que o 'inverno' espiritual irrompa na gloriosa 'primavera' na
45 826 9994,5789para aumentar o ßuxo criativo e a inspira“‰o
56 57,893para experimentar o Amor Incondicional
14 16,990para que os mist”rios da Vida ApŠs a Morte e da Cria“‰o se
18 26,753para almas g’meas no C”u que sentem falta de seus entes
13 421 86 931,10405para aumentar a conex‰o e a unidade entre as
12 15 316,"'Para que meu cora“‰o esteja completo, devo estar com voc’' Ñ"
33 31,156para que seu cora“‰o esteja com seu amor todos os dias Ñ se
28 34,515para Þcar alerta enquanto estiver acordado at” tarde no trabalho
24 868,5492para um aumento de energia (use apenas uma vez ao dia)
91 97,"865para restaurar, reequilibrar e reenergizar todos os sintomas"
25 39 561,615para esperar uma vida melhor em todos os sentidos e
55 59,627para quando voc’ estiver completamente vazio de esperan“a e
99 61,378para consola“‰o e conforto ‹ alma que sŠ a M‰e Divina pode dar
89 66,"186pela capacidade de suportar, pela perseveran“a na sua Jornada"
05 50,561para acalmar o estresse
56 51,215para facilita“‰o em emerg’ncias cirœrgicas; para que toda a cura
56 57,893para experimentar o Amor Incondicional
11 22,232sintoniza“‰o do reino vegetal
43 44 578 923,10774Sintoniza“‰o de Gaia (inclui assist’ncia do
18 51,350para experimentar a energia do mar quando se est⁄ longe do
99 62,753para que o Amor e a Felicidade inundem o planeta
19 83,202para Novos Horizontes
13 44,578Sintoniza“‰o do UnicŠrnio
13 31,989Sintoniza“‰o do Drag‰o
34 86,789sintoniza“‰o elemental
99 61,378para consola“‰o e conforto ‹ alma que sŠ a M‰e Divina pode dar
11 111 1111 11111 1111 111,11para atualiza“‰o do circuito ~ USE SOMENTE se
11 67,692para obter ajuda na manifesta“‰o
25 21,064para celebrar um milagre que j⁄ foi dado
79 78,726para aceita“‰o das li“łes de vida
31 12,"197para n‰o se atrasar para um compromisso, reuni‰o ou"
42 88,112para curar linhas do tempo (com Assist’ncia e Suporte Divinos)
82 494 782 9009 4142,96543para a capacidade de mudan“a de forma
99 62,753para que o Amor e a Felicidade inundem o planeta
56 57,893para experimentar o Amor Incondicional
24 57,892neutraliza todos os componentes tŠxicos introduzidos no
24 67,987neutraliza aditivos econŽmicos em alimentos para facilitar a
24 60,123faz com que frutas e vegetais amadure“am at” a maturidade total
42 67,982salva alimentos que est‰o quase estragados por mofo para serem
99 42,167neutraliza o efeito do etanol (EtOH ou ⁄lcool). Usar com cautela
81 52,936para neutralizar pesticidas nos alimentos consumidos
88 44,578aumenta a nutri“‰o vital dos alimentos (pode ser combinado com
34 02,"991para neutralizar alimentos picantes (n‰o afeta o sabor/picante,"
77 74,321para saœde digestiva
82 44,619para neutralizar os efeitos nocivos do a“œcar (n‰o altera o sabor)
42 52,7671para neutralizar os efeitos nocivos do ßœor quando tomado em
42 88,974para neutralizar os efeitos nocivos do sal quando ingerido
11 23,879para prolongar a vida œtil dos alimentos congelados
24 46,"713neutraliza alimentos geneticamente manipulados, ou OGM"
82 41,576o cŠdigo mais poderoso e eÞcaz para neutralizar OGM (cuidado
99 61,553para curar toda a depend’ncia do fumo Ñ tabaco e op“łes sem-
33 37,"899para remo“‰o de parasitas, vermes e tamb”m anexos et”ricos/"
86 45,"378para humanos e animais que foram expostos a alta, e"
56 892 484,"7576para neutralizar ""rastros qu™micosÓ lan“ados por aviłes,"
57 56,105para neutraliza“‰o de pesticidas no meio ambiente apŠs longo
43 54,565para alergia a gatos
72 82,490auxilia na limpeza de toxinas
10 42,789para remover o efeito placebo existente
43 33,"556para alergias a medicamentos em geral, para tornar as rea“łes a"
88 66,"125para efeitos colaterais de medicamentos em geral, para fazer a"
12 12,126para neutralizar odores desagrad⁄veis
21 51,669para proteger o ve™culo contra v›ndalos e roubos
51 28,952para proteger edif™cios de picha“łes e picha“łes
19 86,451para ingest‰o e envenenamento por chumbo (usar junto
52 99,767para ingest‰o e envenenamento por itai-itai/c⁄dmio (usar junto
59 11,226para toxicidade de mercœrio Ñ uso junto com terapia
13 18,045para exposi“‰o EMF (for“a eletromagn”tica) ou de baixo n™vel
15 73,691Feridas Espirituais
17 37,562Feridas Mentais
55 65,786Feridas Emocionais
18 57,991Ferimentos F™sicos
80 90,561Feridas Sexuais
26 58,347Para consolo e cura quando outros que n‰o est‰o despertos
84 629 585,4519para sucesso acad’mico (se permitido no plano de vida)
15 64,211para ser admitido na escola de sua escolha para seu treinamento
20 02,004para melhoria do desempenho atl”tico
99 67,153para aliviar a condi“‰o de restri“‰o Þnanceira
13 24 686 9789,4516para seguran“a Þnanceira (se permitido no plano de
81 69 153,2para pessoas em situa“‰o de rua
85 47,132para encontrar e manter a moradia certa para voc’
06 17,557para que a pobreza desapare“a de Gaia e dos seus habitantes
31 56,887para superar a pobreza
80 49,627para 'puxar-se pelas prŠprias botas' e criar oportunidades
61 79,255para adapta“‰o ‹ aposentadoria
99 61,546para auxiliar na perda e recupera“‰o do emprego (para curar)
53 99,350para que o hobby que voc’ gosta se torne lucrativo
25 51 789 2254,31para proÞssionais de saœde e curandeiros de todos os
51 22,349para cuidadores: para sustent⁄-los e estarem capacitados com o
06 11,916para viagens: para oportunidades que surgirem se voc’ gosta de
86 85,931para generosidade de esp™rito
69 29,588para facilitar problemas de paternidade/maternidade
19 59,688para v™nculos em novas fam™lias reconstitu™das
19 08,516para pais que desejam seus Þlhos Ñ para uma ben“‰o especial
55 01,"012para que as crian“as tenham mais acesso aos pais, que precisam"
21 79,665para ciœme da rela“‰o m‰e-Þlho
69 79,228para ciœme da rela“‰o pai-Þlha
12 66,978para facilitar a vida de pais solteiros
25 19,876para que os perdidos e socialmente isolados encontrem o seu
01 61,"510para quem sofre de depend’ncia de qualquer natureza, e para"
51 22,349para cuidadores: para sustent⁄-los e estarem capacitados com o
35 26,195para a mulher em um relacionamento s”rio cujo parceiro busca
29 56,7892156para animais maltratados
29 58,734para tratamento de feridas em animais
21 76,9654321para animais que sofrem de desnutri“‰o
86 55,158para que os animais selvagens tenham o seu habitat aumentado
33 37,899(cŠdigo humano ” seguro para animais) para remo“‰o de
96 76,269para fungos e ⁄caros no ouvido
81 50,561para sensibilidade da pele por atrito e perda de pelos ou cabelos
21 71 2156,43para estabilizar colŽnias de abelhas
21 98,5792para aumentar a nutri“‰o das abelhas
71 21,9681para remo“‰o de ⁄caros Varroa e parasitas espec™Þcos de
91 62 5543,21para neutralizar os efeitos nocivos dos produtos qu™micos
21 76,582para assist’ncia com bolas de pelo
92 72,821para infec“‰o do trato urin⁄rio inferior felino
51 28,765para problemas oculares em felinos
08 19,541para c⁄lculo dent⁄rio felino
58 22,237para incentivar a alimenta“‰o saud⁄vel em felinos dom”sticos
22 50,967para latidos excessivos
66 77,232para tosse dos canis concomitante ‹ vacina“‰o
42 75,995para pontos quentes
28 78,562para mau h⁄lito quando todos os cuidados dent⁄rios est‰o em dia
91 52,701para cinomose concomitante ‹ vacina“‰o
55 65,792para raiva em humanos e animais quando n‰o h⁄ tratamento
78 98,221para t”tano com vacina“‰o concomitante e plano de tratamento
91 25,876para gripe equina com vacina“‰o concomitante e regime de
96 25,"876para hiperv™rus equino, rinopneumonite, rino e abortos virais. A"
69 79,891para o v™rus do Nilo Ocidental com vacina“‰o concomitante e
99 66,"554para adenite equina (garrotilho), abscessos e tratamento de"
32 52,781para febre equina do Potomac com concomitante tratamento com
21 79,895para claudica“‰o muscular/esquel”tica
98 21,765para casos mais graves de podrid‰o da chuva (dermatite de
79 52,"349para sapinhos (aftas, candid™ase"
22 59,681para Laminite (fundador) Ñ pe“a ao seu veterin⁄rio para
99 22,579para cŠlicas Ñ requer que seu veterin⁄rio diagnostique a
10 92,"598para azotœria (rabdomiŠlise ou ""doen“a da segunda-feiraÓ) Ñ"
99 96,913para cupins (desde que n‰o esteja em seu roteiro de vida
70 47,898para que os equipamentos eletrŽnicos funcionem de forma
77 20,154para que todos os ve™culos funcionem sem problemas
24 73,726para que os voos sejam tranquilos e pontuais durante a viagem
86 42,789
16 612 485,97895
86 42 789,"Arcanjo Rafael atrav”s de Marc Gamma, em isen“‰o de"
